,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_lr,params_net_arch,params_tau,user_attrs_gamma_,state
0,0,-50.0,2024-06-25 03:53:07.847193,2024-06-25 03:58:08.364071,0 days 00:05:00.516878,tanh,127,141998,0.00054879884559193,2.142805213703411e-05,small,0.5138318191370225,0.9994512011544081,COMPLETE
1,1,-50.0,2024-06-25 03:58:08.364710,2024-06-25 04:04:38.890590,0 days 00:06:30.525880,tanh,246,101046,0.001894059301400683,1.0278589254803106e-05,tiny,0.19992240399949868,0.9981059406985994,COMPLETE
2,2,-50.0,2024-06-25 04:04:38.891201,2024-06-25 04:10:54.979616,0 days 00:06:16.088415,tanh,163,11609,0.007500839907281411,0.009671556169850295,tiny,0.0794849585389088,0.9924991600927185,COMPLETE
3,3,-49.9,2024-06-25 04:10:54.980212,2024-06-25 04:18:21.540015,0 days 00:07:26.559803,relu,207,57768,0.0003085442132376884,0.008254038866275204,small,0.8066141736461548,0.9996914557867623,COMPLETE
4,4,-50.0,2024-06-25 04:18:21.540623,2024-06-25 04:24:32.746801,0 days 00:06:11.206178,tanh,232,68004,0.00011760254393785476,0.00040019646891586525,tiny,0.05040613432823915,0.9998823974560621,COMPLETE
5,5,-49.9,2024-06-25 04:24:32.747403,2024-06-25 04:31:06.629233,0 days 00:06:33.881830,relu,69,829305,0.08406559796120584,0.5954990693259452,small,0.9742986662513572,0.9159344020387942,COMPLETE
6,6,-50.0,2024-06-25 04:31:06.630016,2024-06-25 04:38:01.193268,0 days 00:06:54.563252,relu,185,19985,0.00010936844833333006,0.02461453153171461,small,0.8949024165489929,0.9998906315516667,COMPLETE
7,7,,2024-06-25 04:38:01.193904,2024-06-25 04:39:17.387608,0 days 00:01:16.193704,relu,213,379889,0.0008945597576330959,0.11926721403533512,small,0.6774093118420217,0.9991054402423669,FAIL
